line,rule,error
293,TmplDef              ::= 'case'? 'class' ClassDef,'NoneType' object has no attribute 'lower'
298,TraitDef             ::= id TypeParamClause? ($TraitTemplateOpt),'NoneType' object has no attribute 'lower'
299,ObjectDef            ::= id ($ClassTemplateOpt),'NoneType' object has no attribute 'lower'
304,ClassTemplate        ::= -1(EarlyDefs? ClassParents TemplateBody?),'NoneType' object has no attribute 'lower'
305,TraitTemplate        ::= -1(EarlyDefs? TraitParents TemplateBody?),'NoneType' object has no attribute 'lower'
306,ClassParents         ::= Constr ('with' AnnotType)*,'NoneType' object has no attribute 'lower'
307,TraitParents         ::= AnnotType ('with' AnnotType)*,'NoneType' object has no attribute 'lower'
309,EarlyDefs            ::= '{' (EarlyDef (semi EarlyDef)*)? '}' 'with','NoneType' object has no attribute 'lower'
310,EarlyDef             ::= 1((Annotation nl?)* Modifier* PatVarDef),'NoneType' object has no attribute 'lower'
314,ConstrBlock          ::= '{' SelfInvocation (semi BlockStat)* empty? '}','NoneType' object has no attribute 'lower'
316,SelfInvocation       ::= 'this' ArgumentExprs ArgumentExprs*,'NoneType' object has no attribute 'lower'
323,Packaging            ::= 'package' QualId nl? '{' TopStatSeq '}','NoneType' object has no attribute 'lower'
324,PackageObject        ::= 'package' 'object' ObjectDef,'NoneType' object has no attribute 'lower'
